County,Avg_Severity,Accident_Count,Std_Dev,Severe_Accidents_Pct
Dade,2.5404699738903394,383,0.6372443854743531,46.21
Whitfield,2.5376984126984126,504,0.6662612371291422,44.05
Franklin,2.5372460496613995,443,0.676254390306316,44.24
Putnam,2.5357142857142856,84,0.8704856499572015,28.57
Turner,2.532934131736527,167,0.6923369812708517,43.11
Emanuel,2.5315315315315314,111,0.6717659199970262,43.24
Clarke,2.5311004784688995,209,0.8716911251929518,29.67
Glynn,2.530097087378641,515,0.7331551865196638,39.03
Dougherty,2.5286624203821657,314,0.8576698468449818,29.3
Muscogee,2.528436018957346,844,0.716123026622262,40.64
Northwest Hills,2.5251798561151078,278,0.8816700206407894,26.26
Warren,2.521551724137931,232,0.6706340005405309,42.24
Gwinnett,2.517094017094017,8424,0.5975471710053138,47.44
Mitchell,2.515463917525773,97,0.8673883461030166,26.8
Cook,2.509009009009009,222,0.607204043999784,45.05
Fulton,2.508347842023275,54565,0.5818316815654677,46.92
Wilkes,2.5,94,0.8131975913519696,29.79
Walker,2.4936708860759493,79,0.8604324750621122,25.32
Jackson,2.477272727272727,1452,0.6867105140575321,37.47
Northeastern Connecticut,2.4741784037558685,213,0.844259140503587,24.41
Taylor,2.4714285714285715,70,0.8465005298273177,24.29
Bryan,2.4704761904761905,525,0.6750634419611856,37.52
Catoosa,2.4615384615384617,598,0.5911340839592981,41.47
McIntosh,2.4609929078014185,282,0.6855678530155214,36.52
Lamar,2.44,150,0.6803078655625763,33.33
Oconee,2.4393939393939394,132,0.812662909164959,23.48
Hartford,2.4041945756011858,18214,0.5579727925316021,37.05
Middlesex,2.391782831988261,2726,0.6678943869256598,28.8
Columbia,2.357905982905983,936,0.580522994635927,32.16
New Haven,2.3394708854028186,15044,0.562714040067693,29.49
Dekalb,2.308840413318025,2613,0.6093219772792875,23.08
Fairfield,2.30291702067403,17655,0.510010794164204,27.96
Southeastern Connecticut,2.291851851851852,675,0.6906595836677747,16.59
Chatham,2.2812002124269783,3766,0.5778581543002765,24.46
Forsyth,2.1864077669902913,515,0.5404005834573415,12.82
Capitol,2.1733509234828494,3790,0.5160676279209498,11.72
Naugatuck Valley,2.1665198237885464,1135,0.5535899778570268,9.52
Lower Connecticut River Valley,2.1566433566433565,715,0.5245458807680544,8.53
South Central Connecticut,2.107108081791626,2054,0.43273066850986264,7.21
Western Connecticut,2.0987654320987654,2106,0.39800976970514185,6.6
Greater Bridgeport,2.094384707287933,837,0.36853454799691254,6.93
